CALENDAR_ID,CUSTOMER_ID,PROVIDER_ID,DEVICE_ID,ROUNDS,BET_EUR,WIN_EUR,GROSS_REVENUE_EUR,BONUS_COST_EUR,NET_REVENUE_EUR,IS_ACTIVE_CUSTOMER
20240122,10,4,2,506,"4,426.38","-5,874.39","-1,448.01",-467.32,"-1,915.34",1
20240318,25,1,1,376,166.41,"-8,314.97","-8,148.56",-199.13,"-8,347.69",1
20240121,2,2,2,246,"4,243.94","-4,629.02",-385.08,-735.54,"-1,120.62",1
20240301,7,1,1,120,342.27,-465.09,-122.83,-709.02,-831.85,1
20240105,7,3,2,636,"4,549.81","-4,439.71",110.10,-148.06,-37.96,1
20240322,26,1,1,364,0.00,"-5,210.11","-5,210.11",-329.87,"-5,539.98",0
20240319,22,3,1,536,"7,948.46","-6,329.48","1,618.98",-819.87,799.11,1
20240215,7,1,1,115,"6,861.62","-6,860.39",1.23,-485.82,-484.60,1
20240110,2,3,1,714,"4,741.64","-4,883.74",-142.10,-998.07,"-1,140.17",1
20240128,30,3,1,185,31.41,"-6,759.24","-6,727.83",-622.94,"-7,350.77",1
20240306,17,2,1,891,"2,152.52","-3,243.33","-1,090.81",-693.37,"-1,784.18",1
20240213,10,4,1,517,"9,207.91","-3,142.91","6,065.00",-622.85,"5,442.15",1
20240223,15,2,2,567,"9,481.14","-6,542.12","2,939.02",-954.84,"1,984.17",1
20240304,7,1,2,847,0.00,"-5,422.93","-5,422.93",-851.16,"-6,274.08",0
20240207,29,2,2,529,"7,834.68","-5,083.31","2,751.37",-617.76,"2,133.61",1
20240108,14,3,1,969,"8,624.83","-6,501.59","2,123.24",-904.78,"1,218.46",1
20240209,27,1,2,103,"7,178.42","-1,854.55","5,323.86",-876.59,"4,447.27",1
20240221,8,3,2,43,"6,460.62","-9,427.76","-2,967.13",-49.96,"-3,017.09",1
20240313,6,3,2,90,"1,859.56","-6,116.27","-4,256.71",-91.29,"-4,348.01",1
20240216,13,1,1,180,0.00,"-3,863.09","-3,863.09",-937.53,"-4,800.62",0
20240111,6,3,2,122,"9,094.39","-5,629.87","3,464.52",-687.76,"2,776.76",1
20240120,26,3,1,453,"6,892.00","-7,807.72",-915.72,-166.79,"-1,082.51",1
20240321,28,1,2,110,"7,531.71","-4,718.82","2,812.89",-335.76,"2,477.13",1
20240114,17,2,2,850,"8,543.98",-703.04,"7,840.95",-341.55,"7,499.40",1
20240327,9,1,2,693,"9,797.60","-3,093.29","6,704.32",-125.30,"6,579.02",1
20240123,20,3,2,766,"8,868.63","-3,476.92","5,391.70",-983.46,"4,408.24",1
20240313,2,1,2,507,872.52,"-2,481.20","-1,608.68",-500.37,"-2,109.05",1
20240201,29,4,1,471,"5,604.45","-1,712.26","3,892.20",-915.88,"2,976.32",1
20240129,20,1,2,698,0.00,"-4,914.11","-4,914.11",-829.49,"-5,743.60",0
20240201,29,2,2,685,"2,303.80",-71.17,"2,232.63",-497.92,"1,734.71",1
20240217,13,2,2,604,"7,481.77","-4,683.29","2,798.48",-222.75,"2,575.73",1
20240223,12,1,2,26,"5,998.19","-1,538.12","4,460.07",-2.98,"4,457.09",1
20240112,26,1,2,807,"3,877.65","-3,532.05",345.61,-707.99,-362.38,1
20240205,1,3,2,673,"1,856.79","-3,257.68","-1,400.89",-508.56,"-1,909.45",1
20240216,7,4,1,373,"2,145.92",-545.54,"1,600.39",-789.34,811.04,1
20240207,20,3,2,534,"3,454.37","-1,811.08","1,643.30",-201.03,"1,442.26",1
20240204,26,4,1,904,326.81,"-9,540.61","-9,213.80",-919.46,"-10,133.26",1
20240327,17,2,1,972,"7,099.87","-1,776.79","5,323.08",-941.15,"4,381.93",1
20240211,14,3,2,99,0.00,"-2,950.41","-2,950.41",-43.81,"-2,994.22",0
20240312,18,4,1,385,0.00,"-4,954.95","-4,954.95",-912.53,"-5,867.48",0
20240110,3,4,2,124,253.77,"-6,586.14","-6,332.37",-978.70,"-7,311.07",1
20240220,27,1,1,516,"7,128.15","-4,614.33","2,513.82",-341.95,"2,171.87",1
20240306,12,1,1,81,"3,356.83","-3,067.30",289.53,-97.35,192.18,1
20240310,18,1,1,11,0.00,"-2,195.83","-2,195.83",-759.39,"-2,955.22",0
20240313,8,4,1,675,"3,778.85",-497.37,"3,281.48",-904.16,"2,377.32",1
20240317,19,1,2,653,"9,476.18","-4,661.67","4,814.51",-810.27,"4,004.24",1
20240105,11,3,1,924,"3,576.66","-5,916.76","-2,340.10",-838.95,"-3,179.05",1
20240212,19,3,2,736,"5,470.31","-3,886.21","1,584.11",-232.81,"1,351.29",1
20240112,26,2,2,277,"5,727.54","-3,407.81","2,319.73",-580.08,"1,739.65",1
20240115,4,2,2,732,"1,027.51","-7,598.21","-6,570.70",-13.96,"-6,584.66",1
20240130,3,2,1,711,"3,193.10","-2,923.87",269.23,-400.20,-130.96,1
20240220,27,4,1,356,"8,634.07","-7,722.37",911.70,-671.03,240.67,1
20240307,14,3,2,567,"7,391.32","-7,917.10",-525.78,-177.50,-703.28,1
20240129,14,4,1,182,"1,096.60","-9,181.87","-8,085.27",-309.52,"-8,394.79",1
20240212,29,2,1,567,"2,005.03","-3,765.97","-1,760.93",-315.65,"-2,076.58",1
20240225,14,2,1,429,"3,420.36","-5,717.21","-2,296.85",-419.85,"-2,716.70",1
20240102,30,1,1,523,0.00,"-3,052.26","-3,052.26",-58.04,"-3,110.30",0
20240330,10,2,2,608,"4,428.41","-8,420.74","-3,992.33",-320.05,"-4,312.38",1
20240227,1,1,1,236,"6,254.57","-8,841.17","-2,586.60",-976.31,"-3,562.91",1
20240112,22,4,1,189,"6,615.15","-2,049.98","4,565.18",-736.93,"3,828.25",1
20240325,5,2,1,940,653.34,"-2,948.90","-2,295.56",-249.04,"-2,544.61",1
20240207,19,4,1,90,396.30,"-7,960.57","-7,564.27",-325.41,"-7,889.68",1
20240327,4,2,1,296,0.00,"-9,741.63","-9,741.63",-440.90,"-10,182.53",0
20240124,2,3,1,444,0.00,"-9,790.16","-9,790.16",-237.62,"-10,027.79",0
20240202,11,3,2,393,"7,691.91","-1,934.55","5,757.36",-870.23,"4,887.13",1
20240126,20,2,2,283,"2,020.64","-9,757.49","-7,736.84",-904.73,"-8,641.57",1
20240214,6,4,2,514,479.98,"-4,559.06","-4,079.08",-629.68,"-4,708.76",1
20240106,8,2,2,34,"3,863.41","-5,900.49","-2,037.09",-401.32,"-2,438.41",1
20240107,21,2,1,542,"4,512.65","-8,987.54","-4,474.89",-549.69,"-5,024.58",1
20240215,30,3,2,138,"4,806.38","-7,246.55","-2,440.18",-112.35,"-2,552.53",1
20240311,2,2,1,846,"1,088.49","-7,111.09","-6,022.60",-966.97,"-6,989.57",1
20240123,5,2,2,742,"4,469.04","-6,247.86","-1,778.82",-813.36,"-2,592.18",1
20240225,15,2,2,861,"3,284.45","-7,127.94","-3,843.50",-987.70,"-4,831.20",1
20240305,1,4,2,339,"4,574.68","-5,160.69",-586.00,-500.70,"-1,086.71",1
20240229,30,2,1,983,"1,487.80","-3,636.73","-2,148.93",-791.70,"-2,940.64",1
20240110,2,2,1,716,"7,538.06",-154.13,"7,383.93",-127.21,"7,256.72",1
20240126,22,4,1,602,"6,572.51","-3,217.64","3,354.87",-966.58,"2,388.29",1
20240227,20,3,2,577,"2,892.06",-856.55,"2,035.51",-577.42,"1,458.08",1
20240114,2,2,2,166,"9,806.14","-7,425.70","2,380.43",-332.35,"2,048.08",1
20240216,15,3,2,953,"2,030.29",-172.61,"1,857.68",-200.11,"1,657.57",1
20240216,3,2,1,306,"4,776.07","-9,907.74","-5,131.67",-813.87,"-5,945.54",1
20240202,3,2,2,192,"1,957.47","-4,857.20","-2,899.73",-617.39,"-3,517.13",1
20240112,16,2,2,939,"5,841.20","-9,497.83","-3,656.63",-341.49,"-3,998.12",1
20240112,4,2,2,419,"2,935.91","-3,087.11",-151.21,-431.71,-582.92,1
20240125,20,3,2,747,"2,806.31","-5,206.33","-2,400.02",-167.62,"-2,567.64",1
20240321,16,3,1,619,"8,935.18","-1,188.05","7,747.13",-343.37,"7,403.75",1
20240130,12,4,2,15,"5,696.27","-7,991.10","-2,294.83",-968.15,"-3,262.98",1
20240112,6,2,2,182,"3,620.32","-7,821.55","-4,201.24",-544.43,"-4,745.67",1
20240324,30,4,1,513,"6,472.62","-2,039.65","4,432.97",-722.88,"3,710.08",1
20240108,26,4,2,756,"8,532.34","-4,532.37","3,999.97",-451.26,"3,548.71",1
20240123,18,3,2,472,"2,331.30","-6,354.08","-4,022.78",-387.53,"-4,410.31",1
20240306,23,4,2,81,"4,125.64","-6,651.93","-2,526.29",-11.99,"-2,538.27",1
20240121,16,4,2,614,"9,792.63","-1,444.36","8,348.27",-495.86,"7,852.41",1
20240218,14,1,2,726,"4,459.98",-470.48,"3,989.50",-578.22,"3,411.28",1
20240216,9,1,2,761,287.58,"-1,234.31",-946.74,-473.76,"-1,420.50",1
20240104,20,1,2,227,"3,646.63","-4,627.99",-981.36,-690.57,"-1,671.93",1
20240302,24,2,1,567,"9,614.10","-8,373.31","1,240.78",-985.23,255.55,1
20240223,22,4,1,889,0.00,-112.00,-112.00,-177.94,-289.94,0
20240131,15,2,2,75,"2,936.20","-8,335.29","-5,399.09",-871.45,"-6,270.55",1
20240126,7,3,1,400,"1,127.38","-5,487.35","-4,359.96",-798.31,"-5,158.27",1
20240113,6,4,2,613,235.48,"-4,110.52","-3,875.05",-12.56,"-3,887.61",1
20240113,7,3,1,253,"4,717.15","-6,277.24","-1,560.09",-433.89,"-1,993.98",1
20240316,16,1,1,135,"2,077.95","-1,493.61",584.34,-91.16,493.18,1
20240216,22,3,1,309,"1,019.94","-9,199.71","-8,179.77",-48.59,"-8,228.36",1
20240223,12,3,1,194,"3,802.83","-8,993.99","-5,191.16",-649.83,"-5,840.99",1
20240314,16,4,1,147,0.00,"-9,696.47","-9,696.47",-926.02,"-10,622.49",0
20240108,2,2,2,443,"4,033.16","-2,268.61","1,764.55",-529.70,"1,234.86",1
20240110,3,1,1,184,144.26,"-3,509.89","-3,365.63",-314.18,"-3,679.81",1
20240103,25,1,2,746,"8,365.30","-8,153.52",211.78,-576.57,-364.78,1
20240322,16,1,2,171,"5,420.87","-1,678.87","3,742.01",-463.29,"3,278.72",1
20240120,11,3,2,226,"6,348.06","-7,307.79",-959.73,-91.53,"-1,051.27",1
20240222,5,2,1,561,"6,620.50","-6,727.20",-106.70,-687.84,-794.54,1
20240326,17,3,2,902,"2,754.84","-1,293.70","1,461.14",-500.99,960.15,1
20240326,6,4,2,233,"5,157.78","-8,659.21","-3,501.43",-406.64,"-3,908.08",1
20240123,1,1,1,706,0.00,-439.47,-439.47,-218.19,-657.66,0
20240216,1,2,1,412,561.54,"-2,967.87","-2,406.33",-404.07,"-2,810.40",1
20240308,5,3,2,151,"3,814.26","-7,254.80","-3,440.54",-923.28,"-4,363.81",1
20240302,12,3,2,903,"9,219.42",-439.53,"8,779.89",-118.95,"8,660.94",1
20240115,9,3,1,529,"8,168.72","-2,147.79","6,020.93",-17.61,"6,003.33",1
20240218,15,3,2,437,"1,893.44","-8,231.00","-6,337.56",-503.61,"-6,841.17",1
20240218,8,1,2,562,"1,086.76","-8,555.87","-7,469.11",-160.49,"-7,629.60",1
20240321,18,1,2,618,"8,571.82",-359.14,"8,212.68",-385.91,"7,826.77",1
20240305,2,1,1,556,"9,648.39","-2,015.40","7,632.99",-737.42,"6,895.57",1
20240317,3,2,1,36,"6,733.31","-9,026.55","-2,293.24",-615.55,"-2,908.78",1
20240112,19,1,2,407,"8,492.60","-1,858.00","6,634.60",-582.56,"6,052.04",1
20240329,21,4,1,698,"5,604.58","-3,681.79","1,922.79",-476.82,"1,445.98",1
20240107,27,1,1,369,"4,250.16","-6,311.30","-2,061.14",-108.19,"-2,169.33",1
20240213,1,2,1,423,"1,210.24","-3,513.41","-2,303.18",-890.88,"-3,194.05",1
20240311,15,3,1,145,"5,103.42","-7,265.22","-2,161.80",-138.57,"-2,300.37",1
20240217,10,1,2,871,711.36,-749.57,-38.21,-916.29,-954.50,1
20240126,21,2,2,403,"2,813.57","-3,745.60",-932.03,-563.27,"-1,495.29",1
20240204,29,4,1,708,"4,644.84","-7,596.20","-2,951.36",-751.20,"-3,702.56",1
20240108,21,1,1,340,"2,881.98","-3,506.66",-624.68,-92.93,-717.61,1
20240316,3,2,1,475,"6,460.63","-7,212.34",-751.71,-358.39,"-1,110.09",1
20240205,15,4,1,360,"1,724.49","-3,437.21","-1,712.72",-360.51,"-2,073.24",1
20240114,18,3,2,421,"9,749.01","-6,929.22","2,819.80",-908.18,"1,911.62",1
20240224,16,4,2,444,0.00,"-2,789.54","-2,789.54",-540.95,"-3,330.49",0
20240220,25,4,2,112,"4,286.78","-2,855.12","1,431.65",-822.01,609.65,1
20240129,26,4,1,6,"6,034.14","-6,919.79",-885.65,-469.04,"-1,354.69",1
20240211,7,3,1,802,"2,993.99","-7,495.67","-4,501.69",-820.37,"-5,322.06",1
20240126,23,2,2,688,"1,448.53","-8,518.79","-7,070.26",-869.37,"-7,939.63",1
20240109,9,4,1,669,0.00,"-7,735.93","-7,735.93",-231.68,"-7,967.61",0
20240210,22,4,1,888,"5,184.15","-6,806.09","-1,621.94",-622.59,"-2,244.53",1
20240302,14,4,2,272,"4,425.20","-2,437.91","1,987.30",-50.65,"1,936.64",1
20240131,28,2,1,449,"7,311.71","-4,642.90","2,668.81",-471.83,"2,196.97",1
20240219,24,3,1,795,"9,972.71","-5,368.47","4,604.24",-524.74,"4,079.50",1
20240306,3,4,1,759,"6,329.50","-4,531.45","1,798.05",-628.60,"1,169.45",1
20240227,21,3,1,183,"1,812.64","-6,150.48","-4,337.85",-779.60,"-5,117.44",1
20240301,7,4,2,283,"7,819.86","-2,091.52","5,728.34",-994.13,"4,734.21",1
20240221,23,4,1,114,"9,432.61","-4,284.40","5,148.21",-532.04,"4,616.17",1
20240124,10,2,1,803,"3,785.62","-8,319.62","-4,533.99",-434.02,"-4,968.01",1
20240203,10,1,2,625,"4,212.68","-1,586.39","2,626.29",-46.82,"2,579.47",1
20240306,15,2,2,78,"3,819.71",-206.11,"3,613.60",-703.57,"2,910.03",1
20240201,20,2,1,448,0.00,"-5,156.29","-5,156.29",-76.48,"-5,232.76",0
20240304,25,1,2,672,"3,305.31","-1,907.71","1,397.60",-844.15,553.46,1
20240322,4,4,2,735,"5,907.10","-8,258.60","-2,351.50",-685.32,"-3,036.82",1
20240224,30,4,2,562,"3,989.77","-9,235.36","-5,245.59",-171.96,"-5,417.55",1
20240323,15,3,1,263,"5,742.28","-2,514.71","3,227.57",-914.73,"2,312.84",1
20240318,21,1,2,527,0.00,"-9,086.15","-9,086.15",-481.81,"-9,567.96",0
20240322,22,3,2,293,230.76,"-2,089.90","-1,859.14",-778.23,"-2,637.37",1
20240121,13,4,1,537,"7,264.48","-4,189.21","3,075.28",-836.53,"2,238.75",1
20240129,13,2,2,276,"9,747.19","-9,791.29",-44.10,-564.00,-608.10,1
20240206,16,3,1,843,"5,772.11",-626.87,"5,145.24",-275.35,"4,869.89",1
20240311,28,2,1,418,"4,456.72","-8,027.66","-3,570.94",-500.89,"-4,071.83",1
20240113,29,3,2,513,"2,641.22","-2,044.33",596.89,-869.00,-272.12,1
20240118,17,1,2,75,155.53,-966.66,-811.13,-349.66,"-1,160.78",1
20240114,2,4,2,725,"5,592.85","-1,041.87","4,550.98",-969.36,"3,581.62",1
20240330,15,1,2,443,"2,344.12","-1,946.91",397.20,-809.43,-412.23,1
20240222,22,4,1,774,"9,325.70","-4,675.62","4,650.09",-10.33,"4,639.76",1
20240216,3,2,1,310,"5,141.40","-7,714.94","-2,573.53",-244.61,"-2,818.14",1
20240216,9,3,1,72,"7,771.39","-1,784.34","5,987.05",-692.24,"5,294.81",1
20240308,25,2,2,637,0.00,"-7,427.19","-7,427.19",-111.71,"-7,538.90",0
20240227,20,1,2,903,"3,086.54","-4,979.60","-1,893.06",-211.74,"-2,104.79",1
20240113,6,4,1,776,"3,521.17","-9,941.89","-6,420.72",-974.38,"-7,395.10",1
20240305,21,2,1,913,"8,892.96",-607.30,"8,285.66",-976.51,"7,309.15",1
20240115,5,2,2,117,"3,535.50","-5,188.29","-1,652.79",-710.99,"-2,363.77",1
20240227,19,3,1,981,"4,179.17","-5,628.92","-1,449.75",-435.85,"-1,885.61",1
20240317,9,2,1,889,0.00,"-7,972.76","-7,972.76",-330.07,"-8,302.83",0
20240120,8,1,1,873,"5,745.15","-6,328.65",-583.51,-818.59,"-1,402.10",1
20240118,20,1,2,393,"4,121.89","-9,635.16","-5,513.27",-838.23,"-6,351.50",1
20240330,19,2,1,206,874.98,"-3,600.19","-2,725.21",-1.66,"-2,726.87",1
20240317,22,3,2,27,"9,086.27","-2,692.38","6,393.89",-60.75,"6,333.14",1
20240124,8,1,2,886,"5,673.86","-1,383.46","4,290.40",-379.50,"3,910.89",1
20240322,28,2,2,759,0.00,-616.86,-616.86,-846.39,"-1,463.25",0
20240210,27,2,2,212,"5,044.42","-9,148.68","-4,104.27",-676.43,"-4,780.70",1
20240324,2,4,1,337,"6,848.45",-298.96,"6,549.49",-86.61,"6,462.88",1
20240115,19,3,2,533,"4,914.04","-9,074.34","-4,160.31",-255.05,"-4,415.36",1
20240319,15,1,2,351,"3,358.76","-3,132.43",226.33,-930.45,-704.12,1
20240120,6,1,2,171,"2,903.03","-3,503.38",-600.35,-557.94,"-1,158.29",1
20240304,4,4,1,607,"3,781.16",-511.41,"3,269.75",-901.63,"2,368.12",1
20240315,19,3,2,391,354.04,"-3,610.82","-3,256.79",-218.69,"-3,475.48",1
20240328,2,2,1,519,"1,777.37","-7,487.50","-5,710.13",-834.71,"-6,544.83",1
20240122,12,4,1,827,"3,405.43","-3,392.93",12.51,-48.28,-35.78,1
20240122,17,4,1,811,"6,993.20","-9,934.97","-2,941.77",-545.51,"-3,487.28",1
20240116,7,4,2,119,"1,455.14","-8,241.71","-6,786.57",-582.49,"-7,369.06",1
20240123,17,4,2,959,"7,822.15","-7,250.72",571.43,-634.15,-62.72,1
20240123,11,4,2,89,"6,486.56","-2,982.04","3,504.52",-588.78,"2,915.74",1
20240107,12,3,2,857,"1,117.39","-1,852.98",-735.59,-739.81,"-1,475.40",1
20240131,30,4,1,42,0.00,"-1,559.19","-1,559.19",-584.76,"-2,143.96",0
20240123,10,2,2,593,0.00,"-6,038.52","-6,038.52",-905.59,"-6,944.11",0
20240320,16,1,1,681,660.21,-902.78,-242.57,-966.21,"-1,208.77",1
20240229,13,1,1,543,"8,454.67","-9,213.75",-759.08,-263.41,"-1,022.49",1
20240312,15,4,2,67,"2,836.39","-1,592.08","1,244.31",-946.66,297.65,1
20240319,14,3,2,91,"5,214.74","-9,051.58","-3,836.84",-199.38,"-4,036.22",1
20240115,15,3,2,823,"3,253.73",-23.56,"3,230.17",-731.40,"2,498.76",1
20240211,23,2,2,229,918.39,"-7,036.94","-6,118.55",-934.87,"-7,053.42",1
20240129,11,3,2,316,"2,789.96","-8,639.37","-5,849.41",-412.32,"-6,261.74",1
20240306,18,2,1,416,0.00,"-3,134.74","-3,134.74",-42.62,"-3,177.36",0
20240301,15,2,2,235,"4,617.45","-3,901.31",716.14,-854.26,-138.12,1
20240227,25,4,1,247,"6,068.50","-2,669.14","3,399.36",-57.09,"3,342.27",1
20240123,23,1,1,687,"2,117.25",-828.16,"1,289.08",-670.03,619.05,1
20240319,12,4,1,182,"5,231.42","-6,835.99","-1,604.56",-230.62,"-1,835.18",1
20240212,5,4,1,863,"3,782.15","-6,422.32","-2,640.17",-196.67,"-2,836.84",1
20240105,30,4,2,718,"2,310.40",-802.49,"1,507.91",-907.82,600.09,1
20240122,20,3,1,2,"2,308.94","-1,499.45",809.49,-522.52,286.97,1
20240204,26,3,1,715,"3,146.43","-2,532.96",613.47,-770.92,-157.45,1
20240317,22,4,2,512,0.00,"-4,105.20","-4,105.20",-985.97,"-5,091.17",0
20240128,9,2,2,464,"1,400.61","-7,979.69","-6,579.08",-530.60,"-7,109.68",1
20240216,22,4,1,110,"6,124.39","-6,875.02",-750.63,-946.31,"-1,696.93",1
20240107,12,1,2,457,"7,550.24","-5,054.31","2,495.93",-366.66,"2,129.27",1
20240104,15,2,2,514,"6,067.64","-7,724.49","-1,656.85",-224.52,"-1,881.37",1
20240108,5,1,1,71,"1,936.65","-3,673.07","-1,736.42",-61.82,"-1,798.24",1
20240107,16,4,2,352,"2,854.19","-8,857.13","-6,002.94",-144.78,"-6,147.72",1
20240311,9,4,1,816,"9,275.32","-2,666.05","6,609.26",-64.26,"6,545.00",1
20240229,26,3,2,600,465.75,"-3,226.02","-2,760.27",-1.14,"-2,761.41",1
20240301,25,3,2,55,145.92,"-6,803.12","-6,657.20",-14.80,"-6,672.00",1
20240208,10,4,1,41,"3,099.11","-4,528.63","-1,429.53",-741.01,"-2,170.53",1
20240213,14,1,2,522,"3,849.32","-5,048.27","-1,198.95",-563.14,"-1,762.09",1
20240206,17,4,1,923,0.00,"-1,495.29","-1,495.29",-304.69,"-1,799.98",0
20240317,17,1,2,506,"9,109.43","-6,628.79","2,480.64",-240.41,"2,240.23",1
20240305,5,3,1,763,"2,782.60","-4,957.21","-2,174.62",-913.30,"-3,087.92",1
20240221,14,1,1,8,"9,301.22","-5,688.94","3,612.28",-11.65,"3,600.63",1
20240311,2,2,2,943,"3,517.43","-5,760.33","-2,242.90",-752.14,"-2,995.04",1
20240203,8,1,1,371,0.00,"-5,371.98","-5,371.98",-995.58,"-6,367.56",0
20240209,27,1,2,842,"1,711.14","-1,074.38",636.75,-67.76,568.99,1
20240329,23,3,1,298,"4,137.55","-1,546.86","2,590.69",-93.96,"2,496.72",1
20240324,25,1,2,588,"3,802.83","-5,849.62","-2,046.79",-793.30,"-2,840.09",1
20240205,6,3,2,984,274.64,"-3,033.11","-2,758.47",-256.60,"-3,015.07",1
20240112,21,2,1,528,"9,086.03","-4,438.09","4,647.95",-405.06,"4,242.89",1
20240331,2,3,2,191,0.00,"-2,466.82","-2,466.82",-115.58,"-2,582.40",0
20240322,14,3,1,721,"8,499.00","-3,810.14","4,688.86",-353.65,"4,335.21",1
20240127,22,4,2,988,"1,503.24","-3,044.08","-1,540.84",-239.20,"-1,780.04",1
